file,acc,auc,model,acc_sd,auc_sd
ccpair_scores,0.6771,0.5657,KNN,0.0189,0.0219
ccpair_scores,0.7024,0.5666,RFC,0.016,0.0231
ccpair_scores,0.6029,0.5313,DTC,0.0263,0.0249
ccpair_scores,0.6871,0.5846,GBC,0.0177,0.0216
ccpair_scores,0.6774,0.5763,ABC,0.0121,0.0276
ccpair_scores,0.4784,0.576,GNB,0.0671,0.0351
ccpair_scores,0.7168,0.5015,QDA,0.0173,0.0022
ccpair_scores,0.7168,0.6003,SVC,0.0187,0.0281
cell_fractions,0.6787,0.5394,KNN,0.0251,0.0235
cell_fractions,0.6724,0.556,RFC,0.0259,0.0212
cell_fractions,0.5963,0.5267,DTC,0.0188,0.0229
cell_fractions,0.6753,0.574,GBC,0.0165,0.0204
cell_fractions,0.6966,0.5909,ABC,0.0312,0.0198
cell_fractions,0.6876,0.5717,GNB,0.0201,0.0317
cell_fractions,0.6689,0.5621,QDA,0.0613,0.0125
cell_fractions,0.7166,0.6232,SVC,0.0135,0.1027
immune_response_scores,0.6566,0.555,KNN,0.0183,0.0212
immune_response_scores,0.6934,0.5978,RFC,0.0196,0.023
immune_response_scores,0.6279,0.5565,DTC,0.0166,0.0184
immune_response_scores,0.6811,0.6035,GBC,0.023,0.0275
immune_response_scores,0.6808,0.5655,ABC,0.0221,0.0343
immune_response_scores,0.6784,0.614,GNB,0.019,0.0249
immune_response_scores,0.7,0.5973,QDA,0.024,0.0233
immune_response_scores,0.7082,0.5468,SVC,0.0204,0.0666
immune_status,0.7061,0.6625,KNN,0.0155,0.0158
immune_status,0.705,0.6582,RFC,0.0146,0.0189
immune_status,0.6424,0.5679,DTC,0.0161,0.0221
immune_status,0.7053,0.669,GBC,0.0218,0.0151
immune_status,0.7042,0.6433,ABC,0.0164,0.0229
immune_status,0.7289,0.7319,GNB,0.0224,0.0135
immune_status,0.7211,0.6795,QDA,0.0205,0.021
immune_status,0.7305,0.6656,SVC,0.0136,0.0245
lrpair_weights,0.6737,0.6317,KNN,0.0163,0.0148
lrpair_weights,0.7118,0.6063,RFC,0.0223,0.0434
lrpair_weights,0.6384,0.5628,DTC,0.0252,0.0222
lrpair_weights,0.7163,0.6631,GBC,0.0198,0.0255
lrpair_weights,0.6929,0.6303,ABC,0.018,0.0199
lrpair_weights,0.5992,0.6158,GNB,0.0244,0.0236
lrpair_weights,0.5797,0.5238,QDA,0.0214,0.0233
lrpair_weights,0.7163,0.6769,SVC,0.0297,0.0301
pathway_activities,0.6724,0.5845,KNN,0.0273,0.0262
pathway_activities,0.7063,0.6016,RFC,0.0164,0.0163
pathway_activities,0.625,0.5492,DTC,0.0168,0.0245
pathway_activities,0.7042,0.6196,GBC,0.0155,0.0217
pathway_activities,0.6755,0.587,ABC,0.0099,0.0221
pathway_activities,0.6755,0.6273,GNB,0.0299,0.0269
pathway_activities,0.6813,0.629,QDA,0.0152,0.0175
pathway_activities,0.7111,0.5976,SVC,0.0113,0.0214
tf_activities,0.6892,0.6214,KNN,0.0286,0.0258
tf_activities,0.7005,0.5892,RFC,0.0166,0.0265
tf_activities,0.6211,0.5451,DTC,0.0149,0.0179
tf_activities,0.7024,0.6479,GBC,0.0235,0.0248
tf_activities,0.6682,0.6053,ABC,0.0274,0.0302
tf_activities,0.6289,0.6233,GNB,0.0359,0.0274
tf_activities,0.7158,0.5681,QDA,0.0247,0.0377
tf_activities,0.7089,0.6663,SVC,0.0246,0.0173
TIDE,0.6729,0.5679,KNN,0.019,0.0216
TIDE,0.6821,0.5629,RFC,0.0324,0.0329
TIDE,0.6134,0.529,DTC,0.0263,0.0224
TIDE,0.6721,0.5862,GBC,0.0196,0.0228
TIDE,0.6721,0.5737,ABC,0.0183,0.0356
TIDE,0.6582,0.6282,GNB,0.0205,0.0206
TIDE,0.6737,0.5838,QDA,0.0099,0.0184
TIDE,0.7179,0.5912,SVC,0.0143,0.028
